user_id,status_id,created_at,text,source
2839609949,1.25E+18,2020-04-25T20:35:34Z,All does guys on bikes are what people on quads on North side of Dublin think they look like #CovideoParty https://t.co/R68WXYqcPL,Twitter for Android
243895651,1.25E+18,2020-04-24T19:57:14Z,"Happening in Dublin too, gangs of kids on bikes and a few backgarden bbqs on Insta... We'll be locked down for longer with this shite https://t.co/zYM6eV5SHg",Twitter for Android
8.27E+17,1.25E+18,2020-04-24T16:50:01Z,Big Shot Bikes Dublin Black Fixie Track Bike Single Speed or Fixed Gear https://t.co/dH9YKZJhBK https://t.co/0stEtYCoyH,WordPress.com
1.04E+18,1.25E+18,2020-04-24T12:12:19Z,Another necessary cycle to the shops for “the vaccine” #disinfectant #bleach If this doesn’t work I’ll bleach my hair #cycling #dublin #dunlaoghaire #bikes #COVIDIOTS #stravawankers https://t.co/mPQVWy9pia,Twitter for iPhone
25840331,1.25E+18,2020-04-23T19:40:30Z,"@MarcKC_Green @Aidan_Regan @greenparty_ie @EamonRyan Then as a TD ask dept of transport and tourism when was the last time they visited the south east or focused on projects, given it’s 11% of the countries (4 hours a week). A car space in Dublin has the same value as a home in South East so you see why the push for cars not bikes?",Twitter for iPhone
146096523,1.25E+18,2020-04-23T18:51:48Z,"@Robcass78 @Aidan_Regan @greenparty_ie @EamonRyan And there are fellas (and families) outside of Dublin that cycle bikes! Here in Tramore, one piece of strategic cycle infrastructure (of about 2km) could link school capacity of c. 2500 with local population. 10% of that = 10,000 journeys a month for school traffic only!",Twitter for Android
26040731,1.25E+18,2020-04-23T16:40:53Z,@fergalreid @dublinres @theoriginal_JD Why is it doomed? Is that the one with the Dublin Bikes stand at the front?,Twitter Web App
8.78E+17,1.25E+18,2020-04-23T16:38:27Z,"@novoRAIpid @dublinbusnews 3) Make a formal complaint to Dublin Bus but inform them that you have also reported to the Gardai.

This driver cannot be sharing the road with people on bikes.",Twitter for Android
2291143963,1.25E+18,2020-04-23T11:09:48Z,@DubCityCouncil just a quick question about Dublin bikes. Does the council have any plans for enabling long term members a way to take a Bike from the various stations using the app to unlock the bike? it be a life saver when u forget the card home. Thanks,Twitter for Android
4424938163,1.25E+18,2020-04-23T10:46:32Z,"@smytho I cannot understand this resistance. Introduce a Dublin congestion charge and increase DART facilities. Bus Corridor already in plan. We need to put our health first. Not convenience. Where possible we should be using public transport, bikes and walking.",Twitter for iPhone
4525350497,1.25E+18,2020-04-23T10:14:28Z,Bikes should be the only thing added to this level of traffic in Dublin until the planet melts. https://t.co/uga5M5tuHD,Twitter for Android
1.17E+18,1.25E+18,2020-04-23T09:14:32Z,Reports  on news that yesterday was the first day in ages that Dublin had zero thefts or burglaries reported but I'm not sure how true this is considering the amount of bikes on here that have been stolen last night .,Twitter for Android
102938869,1.25E+18,2020-04-23T08:33:08Z,@SiobhanLydon @ItaOKelly One source is Eastern Europe. Gardai discovered hundreds of stolen high end bikes stacked inside a shipping container in Rathcoole co. Dublin ready to be dispatched. Individuals sell then on EBay minutes after stealing them,Twitter for iPhone
3881168973,1.25E+18,2020-04-23T02:19:53Z,"@SorchaPollak Regularly see the young lads who hang around the chippers stealing or fucking with locked bikes, including Dublin Bikes.",Twitter Web Client
467495349,1.25E+18,2020-04-22T22:05:25Z,"Dublin turned out to be rather well suited for cycling. It took me 5 minutes to get used to left-hand traffic. The bad news is all bike shops are closed, so I'm stuck with shitty rental bikes.",Twitter for Android
90673584,1.25E+18,2020-04-22T13:04:45Z,There’s certainly seems to be an increase in activity #Dublin City centre this week - fewer parking spaces on streets; more bikes visible; increase in number of people on streets - by #Covid19 standards at least #COVID19ireland,Twitter for iPhone
7.45E+17,1.25E+18,2020-04-21T19:58:16Z,"All @Deliveroo_IE drivers should have a car, moped or motor bike. These cycle bikes just don’t cut it when your starving. 

#Dublin #LockdownIreland",Twitter for iPad
2795986875,1.25E+18,2020-04-21T11:16:56Z,"Galway, Dublin, Cork, etc ...READ AND LEARN  Less Cars ... more Bikes..Milan announces ambitious scheme to reduce car use after lockdown https://t.co/DFIykp078m",Twitter Web Client
51492815,1.25E+18,2020-04-20T16:15:22Z,"@KevDoyle_Indo Absolute mala head, I'm furious looking at people checking in after cycling 20/50km on there bikes all Dublin, @GardaTraffic need to start stoping people out walking/cycling and ask for proof of address",Twitter for Android
46373233,1.25E+18,2020-04-20T15:08:29Z,If anyone needs free advice on choosing bikes and options let me know I can help. Our shop here in cork partners with the Dutch bike shop in Dublin and examples are cargo bikes for shopping and city deliveries. My self and my wife use one and its perfect.,Twitter Web App
140208799,1.25E+18,2020-04-20T10:06:35Z,Very nice story about how one bicycle shop owner is helping fix up bikes for health service staff: https://t.co/ZsJmOWdsUI,Twitter Web App
1971268730,1.25E+18,2020-04-20T09:44:37Z,"Dublin bicycle shop owner offers free repairs to frontline hospital staff battling Covid-19

“In recent days he’s expanded from fixing bikes for hospital workers to repairs for fire fighters and gardaí”

Paul McQuaid is generous in spirit and skills👏 https://t.co/DeW27Pp6xd",Twitter for iPhone
196706761,1.25E+18,2020-04-20T09:27:18Z,"I met Paul McQuaid as an ""cyclist extra"" on ""The Racer"" (""Le Domestique"") @BlinderFilms , and can tell you he's a genuinely nice guy and busts his hump fixing bikes. #hero #COVID19 #dublin #cycling https://t.co/P9iif8kDqp",Twitter Web App
283638910,1.25E+18,2020-04-20T08:30:19Z,"The 2km rule during this lockdown makes no sense.
It just means law abiding people living in Dublin are congregating heavily along the same routes rather than travelling further afield, to Wicklow for example, where they could disperse widely.
No harm in hoping on bikes either.",Twitter Web App
1.06E+18,1.25E+18,2020-04-19T21:02:28Z,"There is a wide range of public and private actors generating fine-scale data —weather, utility usage; pollution, flood monitoring, bikes in bike stands, waste management, emergency services—it’s a lot. Dublin, like many cities, has 8-9 control rooms (...) https://t.co/FPsv8G9hwx",Twitter for iPhone
19255459,1.25E+18,2020-04-19T20:05:16Z,"Cycling / Phoenix Park on Lockdown Vlog: https://t.co/TojCMJoEYN 

Hey. I have a weird ass fear of bikes and hurt my pelvis trying to face it a few months ago. Now was the best time to get back in the saddle and let you have a nosy of Dublin on lockdown while I’m at it https://t.co/Cgz2MYertN",Twitter for iPhone
970099933,1.25E+18,2020-04-19T13:37:57Z,@inquisitioneu Otherwise known as the Dublin City Carpark Owners' Guild of Knobheads,Twitter for Android
1640054678,1.25E+18,2020-04-19T13:12:21Z,"Calling all my cycling friends in the Ashbourne, Meath, North Dublin &amp; Drogheda areas to help with fixing bikes which have been donated to me for asylum seekers. They are in pretty good nick but need minor fix &amp; checks. @masi_asylum @dublincycling @MeathGAA @drogheda_indo",Twitter for Android
24020604,1.25E+18,2020-04-19T12:52:11Z,"An app, like Dublin Bikes, but instead tells you the capacity of the nearest bottle banks. 🍷",Twitter Web App
21842408,1.25E+18,2020-04-18T19:50:54Z,@Dominos_UK My delivery driver was threatened with a knife and my order taken by youths on bikes. I’m not concerned about the order. More concerned that the driver is safe. This happened at 8:35pm in Dublin city center,Twitter for iPhone
